[Fri 11 21 19:47:26 2014]	maps:Warning	MapWebModule->getCurrentFeed@246	/map/	Warning: unable to find feed data for feed 
[Fri 11 21 19:47:26 2014]	maps:Warning	MapWebModule->getCurrentFeed@246	/map/	Warning: unable to find feed data for feed 
[Fri 11 21 19:47:47 2014]	exception:Alert	include@19	/people/	A KurogoException has occured: LDAP PHP extension is not installed
[Sat 11 22 01:28:54 2014]	exception:Alert	include@19	/people/	A KurogoException has occured: LDAP PHP extension is not installed
[Sat 11 22 01:34:23 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Sat 11 22 01:58:54 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/social/	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Sat 11 22 15:30:51 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Sat 11 22 15:31:17 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Sat 11 22 15:33:13 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Sat 11 22 15:48:28 2014]	maps:Warning	MapWebModule->getCurrentFeed@246	/map/index?group=campus&_b=%5B%7B%22t%22%3A%22Map%22%2C%22lt%22%3A%22Map%22%2C%22p%22%3A%22index%22%2C%22a%22%3A%22%22%7D%5D	Warning: unable to find feed data for feed 
[Sat 11 22 15:48:28 2014]	maps:Warning	MapWebModule->getCurrentFeed@246	/map/index?group=campus&_b=%5B%7B%22t%22%3A%22Map%22%2C%22lt%22%3A%22Map%22%2C%22p%22%3A%22index%22%2C%22a%22%3A%22%22%7D%5D	Warning: unable to find feed data for feed 
[Sat 11 22 15:48:36 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Sat 11 22 16:33:37 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Sat 11 22 16:49:29 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
